Product ID,Product Name,Category,Old Price,New Price,Description
prod-1,Gold Solitaire Diamond Ring,Rings,4500,3800,A brilliant round solitaire diamond set in an elegant 18k yellow gold band. A timeless symbol of love.
prod-2,Platinum Diamond Halo Ring,Rings,5800,3500,A stunning round-cut diamond framed by a delicate halo of sparkling micro-pavé diamonds on a polished platinum band.
prod-3,Gold Three-Stone Ring,Rings,6400,3900,An exquisite round-cut diamond flanked by two matching side diamonds on an 18k yellow gold band.
prod-4,Platinum Pavé Diamond Band,Rings,3200,2400,A half-eternity wedding band encrusted with three rows of brilliant pavé-set diamonds in polished platinum.
prod-5,Gold Eternity Diamond Ring,Rings,4200,2800,A solid 18k yellow gold eternity band set with a continuous circle of brilliant-cut diamonds.
prod-6,Marquise Cut Solitaire Ring,Rings,5500,1450,A striking marquise-cut diamond set in a classic four-prong platinum band to elongate the finger.
prod-7,Princess Cut Solitaire Ring,Rings,4900,1250,A classic princess-cut square diamond mounted on a sleek 18k yellow gold band for a modern look.
prod-8,Cushion Cut Halo Ring,Rings,6100,1150,A soft cushion-cut diamond bordered by a sparkling halo of diamonds on a thin platinum band.
prod-9,Vintage Filigree Bezel Ring,Rings,3800,1800,An intricate gold ring featuring filigree details and an octagonal bezel-set diamond.
prod-10,Bezel Solitaire Platinum Ring,Rings,4700,2100,A contemporary round solitaire diamond encased in a protective bezel setting on a platinum band.
